step,phase,epoch,examples,loss,policy_loss,soft_policy_loss,value_loss,policy_kl,policy_top1,value_mae,lr,seconds,best,checkpoint
11,raw,11,13352,7.85886185350641,3.4785624098963477,4.354878520737015,0.10168356896607443,1.1756004552201214,0.2826542847345088,0.2413974035421912,0.0003,32.68800000000192,True,outputs\checkpoints\distill-oldbest-128x8\gomoku10_student_epoch_0011.pt
12,raw,12,13352,7.776157672852367,3.4041401057131924,4.34978161435273,0.08894320757286216,1.1011781523940518,0.32182444563306256,0.22450103303177618,0.0003,35.64100000000326,True,outputs\checkpoints\distill-oldbest-128x8\gomoku10_student_epoch_0012.pt
13,raw,13,13352,7.701724059286055,3.3364259808130647,4.345215223448372,0.08033147568989114,1.033463988281282,0.3625674066856423,0.21334774435066478,0.0003,38.484000000004016,True,outputs\checkpoints\distill-oldbest-128x8\gomoku10_student_epoch_0013.pt
14,raw,14,13352,7.631808089809978,3.273483640637635,4.340820593916777,0.07001572960754437,0.9705215487528733,0.39462252890656563,0.19811336205097071,0.0003,41.2190000000046,True,outputs\checkpoints\distill-oldbest-128x8\gomoku10_student_epoch_0014.pt
15,raw,15,13352,7.571892696058343,3.218721915177059,4.337378885590295,0.06316717550015649,0.9157599578580862,0.4311713597744507,0.1894728526642681,0.0003,43.93800000000192,True,outputs\checkpoints\distill-oldbest-128x8\gomoku10_student_epoch_0015.pt
16,raw,16,13352,7.507434569553674,3.1604006374717972,4.333667041156876,0.053467403409847465,0.8574386041560096,0.46786998298941007,0.17414598108909315,0.0003,46.67199999999866,True,outputs\checkpoints\distill-oldbest-128x8\gomoku10_student_epoch_0016.pt
17,raw,17,13352,7.462016290786954,3.118648447913278,4.3310347309078265,0.04933244802410407,0.8156865290926916,0.49198622043579904,0.16822735864363295,0.0003,49.67199999999866,True,outputs\checkpoints\distill-oldbest-128x8\gomoku10_student_epoch_0017.pt
18,raw,18,13352,7.415390131786386,3.0758443034430902,4.3280148300458885,0.04612392749371751,0.7728822786626593,0.519847215793317,0.1629145526203872,0.0003,52.68800000000192,True,outputs\checkpoints\distill-oldbest-128x8\gomoku10_student_epoch_0018.pt
19,raw,19,13352,7.377728000524303,3.041186919535185,4.3256649468172235,0.043504962105016066,0.738224915861012,0.5363990436991651,0.15826426476793706,0.0003,55.51600000000326,True,outputs\checkpoints\distill-oldbest-128x8\gomoku10_student_epoch_0019.pt
20,raw,20,13352,7.333598310323159,3.0011228517974615,4.322808979656112,0.03866611325353331,0.6981608677653226,0.5662822040917275,0.14957304379231492,0.0003,58.375,True,outputs\checkpoints\distill-oldbest-128x8\gomoku10_student_epoch_0020.pt
21,raw,21,13352,7.292553877387666,2.963399787232003,4.32029605383213,0.03543223177265307,0.6604377938788262,0.5948921509171904,0.14349957394378496,0.0003,61.26600000000326,True,outputs\checkpoints\distill-oldbest-128x8\gomoku10_student_epoch_0021.pt
22,raw,22,13352,7.264068370668241,2.9374716884722747,4.318212899710334,0.03353513466554748,0.6345096992617814,0.6136908322626278,0.1401025439501523,0.0003,63.95300000000134,True,outputs\checkpoints\distill-oldbest-128x8\gomoku10_student_epoch_0022.pt
23,raw,23,13352,7.231324811836,2.9077928879076738,4.315898316145086,0.0305337777507473,0.6048309236961328,0.6356351132375742,0.13431149852390128,0.0003,66.67199999999866,True,outputs\checkpoints\distill-oldbest-128x8\gomoku10_student_epoch_0023.pt
24,raw,24,13352,7.204085890585395,2.883190373305863,4.313988053062992,0.027629937121723853,0.5802284019874769,0.6456710632294506,0.12724776399071305,0.0003,69.39100000000326,True,outputs\checkpoints\distill-oldbest-128x8\gomoku10_student_epoch_0024.pt
25,mcts,1,5940,7.907454877911192,3.5382116935871264,4.300934630050402,0.273234013676242,1.564986849393106,0.2476430968403415,0.395294015796899,0.0001,1.5469999999986612,True,outputs\checkpoints\distill-oldbest-128x8\gomoku10_student_epoch_0001.pt
